*****     Log 1 for DRB024-simdtruedep-orig-yes.f95 with 3 threads and input size      *****
 Values for i and a(i) are:          67        2278
 Values for i and a(i) are:          68        2346
 Values for i and a(i) are:          69        2415
 Values for i and a(i) are:          70        2485
 Values for i and a(i) are:          71        2556
 Values for i and a(i) are:          72        2628
 Values for i and a(i) are:          73        2701
 Values for i and a(i) are:          74        2775
 Values for i and a(i) are:          75        2850
 Values for i and a(i) are:          76        2926
 Values for i and a(i) are:          77        3003
 Values for i and a(i) are:          78        3081
 Values for i and a(i) are:          79        3160
 Values for i and a(i) are:          80        3240
 Values for i and a(i) are:          81        3321
 Values for i and a(i) are:          82        3403
 Values for i and a(i) are:          83        3486
 Values for i and a(i) are:          84        3570
 Values for i and a(i) are:          85        3655
 Values for i and a(i) are:          86        3741
 Values for i and a(i) are:          87        3828
 Values for i and a(i) are:          88        3916
 Values for i and a(i) are:          89        4005
 Values for i and a(i) are:          90        4095
 Values for i and a(i) are:          91        4186
 Values for i and a(i) are:          92        4278
 Values for i and a(i) are:          93        4371
 Values for i and a(i) are:          94        4465
 Values for i and a(i) are:          95        4560
 Values for i and a(i) are:          96        4656
 Values for i and a(i) are:          97        4753
 Values for i and a(i) are:          98        4851
 Values for i and a(i) are:          99        4950
 Values for i and a(i) are:         100        5050
*****     Log 2 for DRB024-simdtruedep-orig-yes.f95 with 3 threads and input size      *****
 Values for i and a(i) are:           1           1
 Values for i and a(i) are:           2           3
 Values for i and a(i) are:           3           6
 Values for i and a(i) are:           4          10
 Values for i and a(i) are:           5          15
 Values for i and a(i) are:           6          21
 Values for i and a(i) are:           7          28
 Values for i and a(i) are:           8          36
 Values for i and a(i) are:           9          45
 Values for i and a(i) are:          10          55
 Values for i and a(i) are:          11          66
 Values for i and a(i) are:          12          78
 Values for i and a(i) are:          13          91
 Values for i and a(i) are:          14         105
 Values for i and a(i) are:          15         120
 Values for i and a(i) are:          16         136
 Values for i and a(i) are:          17         153
 Values for i and a(i) are:          18         171
 Values for i and a(i) are:          19         190
 Values for i and a(i) are:          20         210
 Values for i and a(i) are:          21         231
 Values for i and a(i) are:          22         253
 Values for i and a(i) are:          23         276
 Values for i and a(i) are:          24         300
 Values for i and a(i) are:          25         325
 Values for i and a(i) are:          26         351
 Values for i and a(i) are:          27         378
 Values for i and a(i) are:          28         406
 Values for i and a(i) are:          29         435
 Values for i and a(i) are:          30         465
 Values for i and a(i) are:          31         496
 Values for i and a(i) are:          32         528
 Values for i and a(i) are:          33         561
 Values for i and a(i) are:          34         595
 Values for i and a(i) are:          35         630
 Values for i and a(i) are:          36         666
 Values for i and a(i) are:          37         703
 Values for i and a(i) are:          38         741
 Values for i and a(i) are:          39         780
 Values for i and a(i) are:          40         820
 Values for i and a(i) are:          41         861
 Values for i and a(i) are:          42         903
 Values for i and a(i) are:          43         946
 Values for i and a(i) are:          44         990
 Values for i and a(i) are:          45        1035
 Values for i and a(i) are:          46        1081
 Values for i and a(i) are:          47        1128
 Values for i and a(i) are:          48        1176
 Values for i and a(i) are:          49        1225
 Values for i and a(i) are:          50        1275
 Values for i and a(i) are:          51        1326
 Values for i and a(i) are:          52        1378
 Values for i and a(i) are:          53        1431
 Values for i and a(i) are:          54        1485
 Values for i and a(i) are:          55        1540
 Values for i and a(i) are:          56        1596
 Values for i and a(i) are:          57        1653
 Values for i and a(i) are:          58        1711
 Values for i and a(i) are:          59        1770
 Values for i and a(i) are:          60        1830
 Values for i and a(i) are:          61        1891
 Values for i and a(i) are:          62        1953
 Values for i and a(i) are:          63        2016
 Values for i and a(i) are:          64        2080
 Values for i and a(i) are:          65        2145
 Values for i and a(i) are:          66        2211
 Values for i and a(i) are:          67        2278
 Values for i and a(i) are:          68        2346
 Values for i and a(i) are:          69        2415
 Values for i and a(i) are:          70        2485
 Values for i and a(i) are:          71        2556
 Values for i and a(i) are:          72        2628
 Values for i and a(i) are:          73        2701
 Values for i and a(i) are:          74        2775
 Values for i and a(i) are:          75        2850
 Values for i and a(i) are:          76        2926
 Values for i and a(i) are:          77        3003
 Values for i and a(i) are:          78        3081
 Values for i and a(i) are:          79        3160
 Values for i and a(i) are:          80        3240
 Values for i and a(i) are:          81        3321
 Values for i and a(i) are:          82        3403
 Values for i and a(i) are:          83        3486
 Values for i and a(i) are:          84        3570
 Values for i and a(i) are:          85        3655
 Values for i and a(i) are:          86        3741
 Values for i and a(i) are:          87        3828
 Values for i and a(i) are:          88        3916
 Values for i and a(i) are:          89        4005
 Values for i and a(i) are:          90        4095
 Values for i and a(i) are:          91        4186
 Values for i and a(i) are:          92        4278
 Values for i and a(i) are:          93        4371
 Values for i and a(i) are:          94        4465
 Values for i and a(i) are:          95        4560
 Values for i and a(i) are:          96        4656
 Values for i and a(i) are:          97        4753
 Values for i and a(i) are:          98        4851
 Values for i and a(i) are:          99        4950
 Values for i and a(i) are:         100        5050
